="",="Panel A: OLS",=""
="",="(1)",="(2)"
="",="Turnout",="Conservatism"
="Bartik X SD (manufacturing, empbase=2005)",="-0.000***",="-0.003***"
="",="(0.000)",="(0.000)"
="Constant",="0.047***",="-0.023***"
="",="(0.001)",="(0.003)"
="Observations",="681",="681"
="R-squared",="0.005",="0.041"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="",="Panel B: Fixed Effects",=""
="",="(1)",="(2)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="year==2002",="0.000",="0.000"
="",="(.)",="(.)"
="year==2007",="0.098***",="-0.204***"
="",="(0.004)",="(0.009)"
="year==2012",="-0.005*",="-0.230***"
="",="(0.003)",="(0.007)"
="year==2017",="0.000",="0.000"
="",="(.)",="(.)"
="year==2022",="0.000",="0.000"
="",="(.)",="(.)"
="Bartik X SD (manufacturing, empbase=2005)",="-0.000",="-0.002***"
="",="(0.000)",="(0.000)"
="N",="681",="681"
="r2",="0.781",="0.765"
="cdf",="",=""
="widstat",="",=""
="arf",="",=""
="arfp",="",=""
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="",="Panel C: FE-IV",=""
="",="(1)",="(2)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (manufacturing, empbase=2005)",="0.019**",="-0.036**"
="",="(0.008)",="(0.014)"
="year==2002",="0.000",="0.000"
="",="(.)",="(.)"
="year==2007",="0.087***",="-0.185***"
="",="(0.006)",="(0.012)"
="year==2012",="-0.095***",="-0.074"
="",="(0.036)",="(0.064)"
="year==2017",="0.000",="0.000"
="",="(.)",="(.)"
="year==2022",="0.000",="0.000"
="",="(.)",="(.)"
="N",="681",="681"
="r2",="-0.995",="-0.277"
="cdf",="7.097",="7.097"
="widstat",="4.989",="4.989"
="arf",="57.468",="26.177"
="arfp",="0.000",="0.000"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
