="",="Robustness_additional",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="(1)",="(2)",="(3)",="(4)"
="Bartik X SD (manufacturing, empbase=2005)",="0.017*",="-0.028*",="0.023",="-0.021**"
="",="(0.010)",="(0.015)",="(0.015)",="(0.010)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.095***",="-0.023",="0.035",="0.050"
="",="(0.029)",="(0.048)",="(0.055)",="(0.046)"
="year==2012",="-0.082",="-0.023",="-0.007",="-0.057"
="",="(0.051)",="(0.079)",="(0.036)",="(0.054)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="0.485",="0.158",="0.144",="0.526"
="",="(0.303)",="(0.520)",="(0.450)",="(0.453)"
="share of college-educated",="-0.632**",="3.105***",="-0.245",="2.298***"
="",="(0.254)",="(0.461)",="(0.250)",="(0.373)"
="Foreign resident share (immi0/pop)",="0.902**",="-1.254*",="1.200**",="-1.401***"
="",="(0.391)",="(0.648)",="(0.598)",="(0.508)"
="manu_share",="0.033",="-0.284*",="-0.056",="-0.250**"
="",="(0.105)",="(0.156)",="(0.161)",="(0.122)"
="migra_share",="0.466*",="-1.174***",="0.274",="-0.910***"
="",="(0.258)",="(0.438)",="(0.288)",="(0.291)"
="Pretrend SD_turnout for SD (prev cohort SD)",="",="",="-0.922**",=""
="",="",="",="(0.454)",=""
="Pretrend SD_conserv1_p for SD (prev cohort SD)",="",="",="",="-0.393***"
="",="",="",="",="(0.084)"
="N",="681",="681",="681",="681"
="r2",="-0.568",="0.225",="-1.401",="0.543"
="cdf",="4.335",="4.335",="3.157",="5.243"
="widstat",="2.697",="2.697",="1.919",="3.270"
="arf",="33.377",="12.850",="38.089",="10.391"
="arfp",="0.000",="0.000",="0.000",="0.001"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
